specimen_id,hc_conn_4_10,hc_conn_4_15,hc_conn_4_20,hc_conn_4_25,hc_conn_4_30,hc_conn_7_10,hc_conn_7_15,hc_conn_7_20,hc_conn_7_25,hc_conn_7_30,hc_conn_10_10,hc_conn_10_15,hc_conn_10_20,hc_conn_10_25,hc_conn_10_30,hc_combo_0.5_10,hc_combo_0.5_15,hc_combo_0.5_20,hc_combo_0.5_25,hc_combo_0.5_30,hc_combo_1_10,hc_combo_1_15,hc_combo_1_20,hc_combo_1_25,hc_combo_1_30,gmm_combo_0.5_10,gmm_combo_0.5_15,gmm_combo_0.5_20,gmm_combo_0.5_25,gmm_combo_0.5_30,gmm_combo_1_10,gmm_combo_1_15,gmm_combo_1_20,gmm_combo_1_25,gmm_combo_1_30,spec_combo_0.5_10,spec_combo_0.5_15,spec_combo_0.5_20,spec_combo_0.5_25,spec_combo_0.5_30,spec_combo_1_10,spec_combo_1_15,spec_combo_1_20,spec_combo_1_25,spec_combo_1_30,kmeans_combo_0.5_10,kmeans_combo_0.5_15,kmeans_combo_0.5_20,kmeans_combo_0.5_25,kmeans_combo_0.5_30,kmeans_combo_1_10,kmeans_combo_1_15,kmeans_combo_1_20,kmeans_combo_1_25,kmeans_combo_1_30
833872706,3,1,16,16,16,5,12,12,0,27,2,0,7,7,3,8,0,17,8,8,5,5,5,10,10,9,14,17,1,5,2,3,11,14,14,1,7,16,14,7,7,1,15,10,28,3,14,14,14,14,5,5,16,2,2
823083861,8,8,8,1,1,5,12,12,0,11,2,0,15,15,15,2,3,9,9,9,4,1,8,8,3,7,14,5,16,18,6,0,12,11,19,3,12,16,24,13,4,6,13,22,19,0,11,17,14,14,0,14,17,7,7
896619350,0,2,3,0,10,9,9,0,24,24,3,13,13,13,13,4,4,10,10,10,2,0,4,4,18,6,5,16,2,21,5,6,15,4,1,8,2,4,22,27,7,7,1,20,9,4,4,13,11,11,6,6,6,8,8
947344218,2,0,17,3,8,4,1,16,16,16,7,3,1,1,7,3,1,15,7,3,1,2,2,14,14,8,0,9,8,3,3,4,1,2,13,7,1,5,13,4,9,8,5,23,18,1,1,1,10,10,8,1,1,21,21
851542876,4,4,4,4,0,9,9,0,24,24,6,6,6,24,24,9,9,0,15,7,5,5,5,0,25,2,2,7,20,0,2,11,2,0,12,1,13,19,15,21,6,10,15,13,6,3,3,3,2,28,3,3,5,9,9
681939807,3,1,5,8,3,3,3,4,10,10,4,1,2,10,4,1,2,2,17,17,6,6,6,16,16,1,9,13,5,25,8,7,3,15,5,0,11,14,6,3,5,13,19,6,16,9,9,18,4,4,1,13,0,0,0
902140767,4,4,4,4,0,9,9,0,24,24,6,6,6,24,24,9,9,0,20,20,2,0,15,15,15,2,2,7,9,26,2,11,2,0,6,1,5,10,17,9,7,1,10,10,24,2,2,2,9,28,3,3,3,3,3
646177634,5,5,2,5,5,6,6,6,6,6,5,5,5,0,10,5,5,5,2,11,9,9,9,9,4,5,11,3,24,6,0,5,4,18,27,9,8,11,3,0,0,11,2,17,3,5,5,5,7,7,9,9,9,18,18
705839974,2,0,17,3,8,4,1,16,16,16,7,3,1,1,29,3,1,15,7,3,1,12,12,5,19,8,0,9,8,3,7,4,9,2,9,7,1,5,13,4,9,0,7,23,25,1,1,1,10,1,8,1,1,21,1
901440363,8,8,8,1,1,5,12,12,0,11,2,0,7,7,3,2,12,12,12,13,4,1,1,2,27,7,10,2,10,18,6,0,8,17,29,6,7,18,20,2,4,6,8,7,14,0,14,14,24,24,0,0,17,22,22
837673842,0,2,3,0,10,2,0,8,8,8,0,7,3,3,0,7,8,8,0,12,2,0,19,19,9,6,4,15,2,21,5,10,19,1,24,8,2,4,1,23,1,9,1,15,11,4,12,12,23,27,6,6,18,4,4
1035989877,1,3,0,2,2,1,5,5,5,14,3,14,14,11,11,7,14,14,14,14,2,11,11,23,11,0,3,1,6,10,4,1,0,24,10,4,3,1,0,29,2,4,0,0,9,8,12,8,19,19,4,4,15,11,11
910287738,4,4,4,4,0,9,9,0,20,20,6,6,6,12,12,9,9,0,15,7,5,5,5,0,25,2,2,7,20,0,2,11,2,0,12,1,5,13,19,22,6,10,10,13,6,3,3,3,2,2,3,10,10,9,9
698676093,5,5,2,5,5,6,6,6,6,6,5,5,5,0,10,5,5,5,2,11,9,9,9,9,4,5,11,3,24,6,0,5,4,18,27,9,8,11,3,0,0,11,2,17,3,5,5,5,7,7,9,9,9,23,23
827638657,3,1,5,10,4,5,12,12,0,26,2,0,7,7,3,2,12,12,12,28,3,14,14,6,6,1,9,17,12,15,8,13,7,14,22,6,7,18,16,2,5,9,14,21,13,0,14,14,24,24,5,5,3,10,10
925242241,2,0,17,3,8,4,1,1,1,1,7,3,8,8,8,3,1,16,16,16,1,12,12,5,19,8,0,4,4,19,7,2,9,9,3,7,13,9,7,14,9,0,16,9,7,1,1,1,21,21,8,8,8,14,14
612410245,0,2,3,0,10,2,2,2,2,12,3,14,14,6,6,7,8,8,0,12,2,11,11,23,11,1,9,18,5,1,8,7,3,15,7,0,11,14,6,1,5,13,19,6,16,2,12,12,8,8,1,13,0,0,0
948302732,3,1,16,16,16,5,12,12,0,27,2,0,15,15,15,8,0,17,8,8,3,4,0,20,20,1,14,17,1,5,8,13,7,14,2,3,12,16,14,7,7,2,17,11,28,0,14,16,14,14,5,5,19,2,2
963019667,2,0,17,3,8,4,1,16,16,16,7,3,1,1,7,3,1,15,7,3,1,12,12,5,19,8,0,4,8,3,7,2,9,9,13,7,1,9,13,24,9,0,7,9,25,1,1,1,10,10,8,8,8,21,21
650331035,1,3,0,2,2,0,4,9,9,9,1,4,0,4,1,0,10,4,4,4,7,3,16,7,7,0,8,6,15,10,4,1,10,3,4,4,10,1,12,16,2,4,0,0,26,8,8,8,16,16,4,4,15,5,5
603902877,3,1,5,10,4,3,3,4,10,10,4,1,2,2,2,1,11,11,5,27,6,6,6,16,16,9,1,13,19,27,1,14,17,7,7,0,11,14,6,11,5,13,19,1,16,9,0,18,4,4,1,13,13,13,13
681554845,8,8,8,1,1,3,3,4,10,10,4,1,2,2,2,1,2,2,17,17,6,6,6,16,16,1,9,13,5,25,8,7,3,15,7,0,7,14,6,3,5,13,5,6,16,9,9,18,4,4,1,13,0,0,0
740410280,1,3,0,2,2,0,4,9,9,9,1,4,0,4,1,0,7,3,11,5,7,3,17,17,17,3,13,6,11,13,9,9,16,13,4,4,10,12,21,17,8,12,5,16,4,8,8,19,6,6,4,12,12,16,16
863404974,4,4,4,4,0,9,9,0,24,24,6,6,6,24,24,9,9,0,20,20,2,0,15,15,15,2,2,7,9,26,2,11,15,0,6,1,5,4,2,11,7,1,10,20,17,2,2,2,9,9,3,10,3,3,3
829305793,8,8,8,1,1,5,12,12,11,0,2,0,7,7,3,2,12,12,12,13,3,14,14,6,6,7,10,11,10,15,6,0,12,8,22,6,0,18,16,2,4,9,17,21,13,0,10,14,5,5,0,0,17,10,10
948126701,2,0,17,3,8,2,2,2,4,4,7,3,1,1,29,3,13,13,13,2,1,2,2,22,22,4,6,9,17,29,3,4,6,2,16,8,2,17,23,4,7,8,5,23,18,6,6,13,1,1,8,1,1,1,1
990213121,8,8,8,1,1,5,12,12,0,11,2,2,4,9,9,8,0,1,21,21,4,1,1,11,2,7,12,11,10,18,6,0,12,8,19,3,12,6,14,13,4,6,13,5,15,0,11,16,14,14,0,14,16,7,7
1000625161,7,7,15,15,15,2,2,2,4,4,1,4,0,4,1,0,7,3,11,5,7,3,17,17,17,4,8,14,7,14,3,4,16,13,4,4,10,12,21,19,8,12,9,16,4,8,8,15,16,18,7,12,12,16,16
698700813,0,2,3,0,10,2,2,2,2,12,3,14,14,6,6,7,8,8,0,12,2,11,11,23,11,6,5,1,6,21,5,6,19,20,25,8,3,10,22,1,2,7,1,6,9,6,12,12,8,8,6,4,18,11,11
