"","PC1","PC2","PC3","PC4","PC5"
"Pcsk1",0.00193280209428973,0.00855496045872511,0.139352578377949,0.0631042901327356,0.00548124651291225
"R3hdm1",0.0374416741316268,-0.00810321616076414,0.00702362504932047,0.025210046144569,0.0270452022100115
"Camk1",0.0265047467162525,0.0149273593566966,-0.0458778911921693,0.00369477070068947,-0.0183902013481506
"Teddm3",-0.0615434314978693,0.0442930716194365,0.00575291449086787,-0.0058927199499036,-0.0638419096356836
"Npsr1",0.0139032129163895,0.0151095186287155,0.0198966266673372,-0.00953521395415135,-0.011322969392641
"Cbln2",-0.0752658799473241,0.104247865351616,0.0230613693132847,0.0784253875462903,0.0761024320286444
"Phactr4",-0.00186687430516428,0.00601823419106641,-0.000604607723713464,0.000236360301782135,0.00224543562769285
"Muc15",0.00500961889777688,0.00273551350694361,0.0137220866242455,-0.0149158593960475,-0.0312117935527047
"Gprc5a",0.0138832223413114,-0.004130286269434,0.0109343032195238,0.0167498115939619,0.00378271439558485
"Id2",0.00412689014791898,-0.00374490075743197,-0.0260864405639605,-0.0353445500794589,-0.0265896336021182
"LOC105244908",-0.00610944508843818,0.00972108724298648,0.0208817640455366,-0.0260699963971771,-0.000757402037436918
"Cdh13",0.193899243521865,-0.13000377166215,0.0616684731808954,-0.115638068672623,0.0372833492830294
"Brinp3",0.140487512590679,0.101762310509302,-0.0225228190211035,0.0779768803711147,0.00281276143985282
"Rcan2",-0.0042434593376768,0.0864712127537177,0.0624307163772971,0.00118334417079085,0.0319902092728458
"Cplx1",0.00182999216257438,0.0502463387624651,0.0468460625778481,-0.0191649838693797,-0.00105594276142155
"Igfbp2",0.166006509699166,-0.00334520506220353,-0.11424615115125,0.0474255549519192,-0.0240156652887999
"Tph2",-0.119142550884785,0.0531028006611131,-0.0237579969289107,0.0289683608598092,-0.0222714540076092
"Zcchc12",1.23557307288663e-05,-0.0238453159535579,0.0199264821656765,-0.0291059759313486,0.0171884543994813
"Hpca",0.0523701865151903,0.156080733880677,-0.0218695573166186,0.114356455803057,0.079247983842133
"Nell1",0.0870137003948348,0.0671048042179026,-0.067624294433575,0.0865304337574725,0.208660460782134
"Nrn1",0.0637372969441525,0.0278603024430465,0.0407340302794978,0.0269865094006921,0.0478515320223669
"Trat1",-0.0039705547352169,-0.00359599046010666,-0.0042661842427053,-0.00143616706684434,0.00392433384101143
"Ndrg4",-0.00123423762075739,0.0196378455275453,0.0114970495841243,0.00208377604060494,0.00350566158878409
"Fzd6",0.000946744780618271,0.00553109336938844,0.00557673653595865,-0.00344655879252679,3.60142164301378e-05
"Pcdhb10",0.00228034342392332,-0.00671189214327913,-0.00255250148039569,-0.00472852261313033,0.00825208191925223
"Stxbp6",0.125569444623201,-0.0879592155288955,0.0297937457958622,-0.0472934792784128,0.193527257308742
"S100b",-0.0574634640559376,0.00975818953415648,0.0934069174425514,-0.0793953828495163,-0.159857192806471
"Foxm1",-0.00236131820915476,-0.00177972563466301,0.000955694650272661,-0.0023208815641971,0.000640442696444012
"Igfbp4",0.0229473070518296,-0.0474448392246941,0.01484484150459,-0.0913242560044238,-0.0991285383706973
"Ndn",0.0189066673408203,-0.00172203706375895,0.0125878444100949,-0.0744439739900146,0.0192178253949141
"Tshz2",-0.0891916722628988,0.052623097700877,-0.0336851806174403,0.0641862927314846,0.100573061584567
"Nefm",-0.0141269014905817,0.128391529070075,0.0502906763520457,0.0194773380457239,-0.0405144283540987
"Crym",0.0533271295168155,-0.139953945757238,-0.0115630537837415,-0.0904698515154239,-0.217447007838257
"Mat2a",-0.000964946242443353,-0.00202346036829119,-0.000672560397950553,0.0161745963656308,7.44756001510188e-05
"Myom1",0.00302746247169484,0.0052418673446981,0.00103677643139484,-0.000608589927932832,-0.00318883556131132
"Samd3",-0.144784139799262,-0.0525097209874294,-0.0264563193714011,0.00631881635277905,0.0205710273526754
"Vwc2l",-0.0356645514474589,0.0611558235835751,-0.0153757919899269,0.0551690984467839,0.101487549560719
"Pcdhb7",0.0112547498560476,0.000972200666299105,-0.0208813515037913,-0.0159123767042399,-0.0374324936325755
"Kcnq1ot1",-0.00401196041417324,-0.00187275247229732,0.0211913796224422,-0.00703891270465006,-0.000378912887246449
"Cadm1",-0.0217482853872779,-0.0666511263779821,-0.00918276540641746,-0.0231112344124785,-0.0150489236379705
"Frem1",0.00291048025700342,-0.00309172400826553,0.00212928346679978,0.00250729116748999,-0.00569289931857054
"Marcksl1",-0.036031102419031,-0.0418915487137441,-0.15603220840858,0.121581842474332,0.00881592069591849
"Bmp5",0.0182062052073564,0.0636242963584179,0.00486481437018925,0.0121295265824927,-0.0345833364816451
"Grp",-0.107095155630403,-0.180599198242207,-0.0855844323738744,0.0027306317960467,-0.0443349930583195
"Gap43",0.0351506703161439,-0.0275050936179439,0.00767844901913816,-0.0139415610329447,-0.0535652004885014
"Car12",0.0362682734810895,0.0120656251017767,-0.0236995298307727,0.00062404858659894,-0.00512947445492186
"Col5a1",0.000493396390366202,-0.00407366400513939,-0.00921476719661421,-0.00193346275087804,-0.00328871999805825
"Cpne6",-0.0532746302106734,-0.0792677916879109,-0.0502485528765418,0.00833141588192043,0.027942850866018
"Clstn3",-0.00035946799692961,0.019963132539797,0.0361772391737715,0.0241596191617556,0.00324294879711856
