"","PC1","PC2","PC3","PC4","PC5"
"Ush2a",-0.000606061191719116,-0.00165004083764436,-0.000456264271653249,-0.000993642542681093,0.00428389533098037
"Myo1b",0.0289683595374769,0.0118945339566427,-0.0451919274414122,-0.0329769347553493,-0.156018116593176
"Tmem255a",-0.0290681570201522,0.00059228474488365,0.0118493551151004,0.0622344386386173,-0.00920670988143578
"Ak7",-0.000105492269114854,0.00131217476332665,-0.00015008931897196,0.00081960622794679,0.00260464860727184
"Cort",0.00174757953222091,0.00277346191382898,0.00618819760681802,-0.00586772976111796,0.0167163144318458
"S100a6",0.0408253649562259,0.220740108408007,0.0508738448224349,0.0736253700106433,-0.00554266745343796
"Cbln4",0.122291451289045,0.0587808938154923,-0.183712110054255,-0.198016175342458,0.0147881150356982
"Col6a1",-0.000179013963974807,0.06907429934951,0.106449641179118,0.0416128721022614,0.150588996177501
"Dnajb1",-0.0020647892952735,-0.047514744100632,-0.00438129074903202,0.0502526227762236,-0.00313024979877561
"Resp18",0.0149977927840847,0.0989164149521699,0.0384593457996395,0.0144671482281199,0.103447306732418
"Areg",0.00567677421576115,0.00113705473344101,0.0038440639489233,0.0103716702083597,0.00694896071136532
"Vmn2r-ps16",0.000337370846010949,0.00258817806211608,-0.00237573841934614,0.000323079608931338,-0.0034631504972483
"Tagln",0.012165191217374,0.030309904363244,0.0460388340869627,0.0299454358662859,-0.0399521106960259
"Igk",0.00169120705748984,0.00195608116301122,0.0159672197667787,-0.0182776069719521,-0.000457161272106041
"Neat1",0.0263441199838104,-0.0398679076503756,0.0288931687247632,-0.0246077453124451,-0.000377709581903317
"Inpp4b",0.000585099113552918,-0.0011934330426599,0.00531715593817143,-0.000254282228639964,0.00866421758775367
"Enpp2",-0.0065756100455025,-0.0713535924546898,-0.0272153543894657,0.018437734233835,-0.112445145338357
"Dusp14",0.037938769472937,-0.0158779326464316,-0.0168625506847712,0.0144854715986053,-0.000527236224142258
"Egr2",0.136340449207663,-0.106174278440754,-0.0882589875369957,0.24924243174902,0.0434503580752165
"Ccdc150",0.00113289203272251,0.00184058788116508,-0.00123573630281838,-0.00201482393860555,0.000472554853366231
"Coch",0.0916792169992771,0.167482066512516,-0.125150670178782,-0.044040575202647,0.036978390479214
"Nrsn1",0.033484932506662,0.00958351794006685,-0.0329913812341538,-0.055788067539292,0.0412358374204257
"Igfbp4",-0.0634275317347364,0.075197520784285,0.164163512364932,0.145181951268169,0.025248739811115
"Blnk",0.0170838546985557,0.108829704852654,0.0903318922903318,0.0274071511249154,0.135870137576223
"Npas4",0.0800428728083259,-0.0255110346437178,-0.0138356577077864,0.0679033861551456,0.0365538093595951
"Gtdc1",0.0280482374955973,-0.0138302786490372,-0.0994473576045351,-0.0751720444100936,-0.0318038549478544
"Tpm4",0.0791704126550656,0.0509074593353499,-0.00186291627088451,0.021217108236472,-0.0269191790710543
"Gadd45b",0.113409136040173,-0.00448212971488807,0.0673552144638921,0.0345816320172534,0.0353597631613367
"Sox2ot",-0.000630364538776945,0.00695036159771901,0.0118637033162026,-0.00318531587259455,0.0245735455829374
"Apoe",-0.00564493918661209,0.0118189643192212,0.0101950060357899,0.0296944953792016,0.0343082483091172
"Mest",0.0685041101959674,-0.0302646997586816,0.0334209375349669,-0.0140477354944849,-0.069691584929441
"Synpo2",-0.00264781118400307,-0.00194129652932103,0.00138938656371055,0.002115502659907,0.00622115751463404
"Shroom3",0.0846750774755521,-0.0468834689642733,0.0716430220970946,-0.0758602306425255,0.0087845483050362
"Vcan",0.0100177642789776,-0.0122046077460474,0.0159397644999675,0.00285967431398786,-0.00580600752512942
"Lcat",0.00138256550982308,0.000503069323055861,0.00123960535546621,-0.00171394760181416,-0.0010302172474341
"Baz1a",0.136526084448788,-0.0663043423099453,0.0794350092771863,-0.0310029979538125,-0.0374903786225069
"Nrd1",0.0552467520042451,-0.051745465210927,0.0247533810440511,-0.0557670390641515,-0.03553771655514
"Slc7a3",-0.00208690449162215,0.00316019664792732,0.000164101494501454,8.24066015000116e-05,0.00865798833259566
"Fndc9",0.0342186348989931,-0.00722655111146212,0.0730575564912019,-0.0119876767478903,-0.0435559315655322
"Aldoc",0.0061901507018545,0.0549923098294782,-0.00119241856398698,0.0298448163567129,0.0206106291799206
"B230216N24Rik",0.036289075899842,-0.0591868455749494,0.0646257883540279,-0.0588404682761073,-0.0405514165550688
"Tex15",-0.000672101173954942,0.00355175192632315,-0.00104347123842499,-0.00482282395596158,0.0106415558613435
"Brinp1",0.0411719693808538,-0.0126215059289511,0.00302939195279435,-0.0391098987189816,-0.042629312800523
"Crem",0.0951219740594302,-0.0249688169947779,-0.0168942556782539,-0.0919580974299774,0.0196774180139992
"Ier3",0.0873299252506435,0.0893044734549826,0.0855039949293759,0.0447509579727652,-0.0138108570591705
"Shisa2",0.00940646795746889,-0.00754652229840738,0.0114327539932945,-0.00467231661725584,0.00542009818281395
"Tfap2d",-0.00205761770971677,-0.000330836363914717,3.76421192061274e-05,-0.000288437256896032,-0.00389866373811424
"LOC102632415",-0.00107502872334539,-0.000456910472146808,0.00231933063119022,-0.00104820144876432,0.000917828334198519
"LOC105245524",0.000974860952529494,-0.00175033545910389,3.46555167549319e-05,-0.00461985434354892,-0.00530037718851041
"Cth",-0.00454835862450477,-0.0269729546752033,0.0271425640391907,-0.0112349746025789,0.0185034856412281
"Tmem165",0.0273864616258148,-0.0200143949718583,0.00777593199966506,0.0111487128703994,-0.0361884892188892
"Synpr",0.0363462718187205,0.0367668311890045,0.153555950292113,0.0993041812802708,-0.0624948872438201
"Ndrg2",0.00224496676088612,0.00890834346219822,0.00618163856587117,0.0128177174288866,0.0126105275602429
"Sfmbt2",-0.00453062385998259,-0.00139694417763137,-0.0104079706895863,-0.00227412188854358,-0.0111946381684303
"Slc24a1",-0.000221058665790689,0.0011282837920466,0.00209802734294204,0.00233166286383863,0.00484131896643688
"Pate4",-0.000528694079490379,0.000551015258350139,-0.000287294407183919,0.000218618416818949,-0.00506268266326865
"Epcam",0.00395123622024409,-0.0018499017223062,0.00205595382249112,0.00202813574408067,-0.00296876780866206
"Lats2",0.00436415464763666,-0.016798672109462,0.00510907994037627,0.00481380911312758,0.0204309610804398
"Nrep",0.0880059196183463,0.151007368883604,-0.0521092828956521,-0.0689711623490278,-0.0221616793330518
"Matn2",-0.0951466703727761,-0.136316980285144,0.0458458909009359,0.0651524509411431,-0.0496947850504275
"Fam107b",0.00548767650710673,-0.0192804232845777,0.0127159280255419,0.0257847481196081,0.0177848428359838
"Tmsb4x",-0.00324651863305015,0.000628051057826487,0.0174293827958791,0.00330979121175394,0.0324234906867665
"Pld1",0.0190814530780351,0.00143362823301059,-0.002737564866816,-0.0264718628865165,0.00439832557068439
"1190002N15Rik",0.0547818259214081,-0.1022384441623,0.0795173457615101,-0.0361472546659256,-0.0532284422370953
"Mro",-0.00202935621993724,-4.28949068060264e-05,0.0028476648136129,0.00269707224170755,0.00673812520806601
"Smc1b",-0.00234576210158199,0.00138517812612939,0.00404007926722324,0.00388950029033362,-0.00418348945893317
"Id2",-0.0297138411617732,0.0617201872753165,-0.0108201186456767,0.0311040577267527,-0.0303522393464325
"Fam19a1",0.0324120088187084,-0.0417699711202604,0.0126979982332613,-0.0602347641885119,-0.0882372652713462
"Kcnq1ot1",0.00559466030664335,0.00269239555480619,0.00975426330525674,-0.0499444017512533,-0.0394732152030636
"Rnd3",0.124181740727032,0.0348693855670487,-0.0500678728695874,-0.0865908429161774,-0.0698512095833494
"LOC105245691",0.00488916997759719,-0.00401535191606594,0.00399506590326423,-0.00500052447603748,0.00420575096355523
"Cd38",0.000883382232293964,0.00257128949223057,-0.00166978412243058,-0.00179975854259397,0.00129236145778629
"Phgdh",-0.000431292662976341,0.00136012183787427,0.00487705059494769,0.00944065025682596,0.00936542160944223
