,t_type,met_type,inferred_met_type
984027717,L6b VISp Mup5,,L6b
947139142,L6 IT VISp Col18a1,L6 IT-1,L6 IT-1
681931335,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
956084807,L2/3 IT VISp Agmat,,L2/3 IT
961241673,L5 NP VISp Trhr Met,,L5 NP
882795087,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
921637459,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
694841940,L5 IT VISp Col6a1 Fezf2,,L5 IT-2
990282326,L5 ET VISp Krt80,,L5 ET-2
896860760,L4 IT VISp Rspo1,,L4 IT
978162264,L4 IT VISp Rspo1,,L4 IT
737997401,L2/3 IT VISp Agmat,,L2/3 IT
1000153691,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
972489317,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
927797864,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
830435948,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
698675821,L5 NP VISp Trhr Met,L5 NP,L5 NP
912573042,L6 CT VISp Krt80 Sla,,L6 CT-2
1000612469,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
975282813,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
898929277,L6 IT VISp Penk Col27a1,,
896053888,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
764056194,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
743027332,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
851632776,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
903864968,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
653197964,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
681636493,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
965771919,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
880784016,L6 IT VISp Col18a1,,
739840659,L2/3 IT VISp Adamts2,L2/3 IT,L2/3 IT
847876759,L2/3 IT VISp Adamts2,L2/3 IT,L2/3 IT
644821657,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
960656026,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
642753179,L4 IT VISp Rspo1,,L4 IT
853471899,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
845402780,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
963220125,L5 IT VISp Batf3,,L5 IT-1
986231454,L5 IT VISp Batf3,,L5 IT-1
990352026,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
912896677,L6 IT VISp Penk Col27a1,,L6 IT-3
639910566,L4 IT VISp Rspo1,,L4 IT
983638695,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
863515305,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
966873774,L6 IT VISp Col23a1 Adamts2,,L6 IT-2
964887215,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
645608113,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
639374007,L4 IT VISp Rspo1,,L4 IT
638223032,L4 IT VISp Rspo1,,L4 IT
962212550,L2/3 IT VISp Agmat,,L2/3 IT
893371082,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
989479628,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
863535837,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
973771485,L6 IT VISp Car3,,L5/L6 IT Car3
957039327,L5 IT VISp Col27a1,,L5 IT-3 Pld5
904942307,L6 CT VISp Ctxn3 Sla,,L6 CT-1
906568427,L6 IT VISp Col18a1,,
699810540,L4 IT VISp Rspo1,,L4 IT
963306220,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
637383404,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
827867891,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
716309237,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
965821175,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
994882296,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
954032889,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
977040125,L6b Col8a1 Rprm,,L6b
993993470,L5 ET VISp Krt80,,L5 ET-3
902255361,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
992400811,L5 ET VISp Krt80,,L5 ET-3
646849289,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
992396042,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
863478540,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
904725260,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
902021902,L6 CT VISp Ctxn3 Sla,,L6 CT-1
986895113,L6b VISp Mup5,L6b,L6b
916624146,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
913695508,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
948372246,L4 IT VISp Rspo1,,L4 IT
912589594,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
681419547,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
984056604,L6b VISp Col8a1 Rxfp1,L6b,L6b
919917343,L6 CT VISp Ctxn3 Sla,,L6 CT-1
880853797,L5 ET VISp Krt80,,L5 ET-2
820060969,L6 IT VISp Col23a1 Adamts2,L6 IT-1,L6 IT-1
639910703,L4 IT VISp Rspo1,L4 IT,L4 IT
990229295,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
639996724,L6 IT VISp Col23a1 Adamts2,,
899683133,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
900985661,L6 IT VISp Col18a1,,
764482368,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
908927809,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
833872706,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
907170627,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
964019012,L2/3 IT VISp Rrad,,L2/3 IT
990225226,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
636851021,L6 IT VISp Penk Fst,,
907125584,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
898667347,L5 ET VISp Krt80,,L5 ET-2
