,predicted_met_type,probability,ccf_soma_location,ccf_soma_location_nolayer,ccf_soma_x,ccf_soma_y,ccf_soma_z,distance_soma_moved_out_of_brain_correction,cre_line,azimuth,altitude,auto_projection_subclass,dend_derived_predicted_subclass,dend_derived_predicted_probability,local_axon_derived_subclass,met_classifier_routing_call
191807_6556-X3678-Y10670_reg.swc,L5 ET-1 Chrna6,0.95,VISam5,VISam,7747.642,895.942,3793.208,0.0,Fezf2-CreER;Ai166_439168-191807,40.052224092527766,-3.771490565347972,ET,ET,0.99,None,ET
191807_7423-X4013-Y19283_reg.swc,L5 ET-1 Chrna6,0.934,VISp4,VISp,8990.442,822.8810000000003,7514.439,36.05551275463989,Fezf2-CreER;Ai166_439168-191807,60.66801411263283,-5.286776820809011,ET,ET,0.9864473684210526,None,ET
191807_7425-X7635-Y24763_reg.swc,L5 ET-1 Chrna6,0.99,VISpor5,VISpor,9461.432,2879.951,9930.79,34.64101615137755,Fezf2-CreER;Ai166_439168-191807,29.456372858041814,-1.1489144803490872,ET,ET,0.928168936385886,None,ET
191807_7446-X4048-Y18753_reg.swc,L5 ET-1 Chrna6,0.676,VISpm5,VISpm,9014.616,791.0319999999997,7275.986999999999,37.416573867739416,Fezf2-CreER;Ai166_439168-191807,50.41895379535033,-0.6968702549798645,ET,ET,0.947612694537766,None,ET
191807_7574-X4648-Y20365_reg.swc,L5 ET-1 Chrna6,0.85,VISp5,VISp,9274.124,1157.2089999999996,7969.522,14.142135623730953,Fezf2-CreER;Ai166_439168-191807,48.05823046881567,4.320064288249295,ET,ET,1.0,None,ET
191807_7786-X4425-Y19023_reg.swc,L5 ET-1 Chrna6,0.652,VISp4,VISp,9509.205,885.918,7360.914000000002,22.36067977499789,Fezf2-CreER;Ai166_439168-191807,70.23596359574553,-0.0364858359519689,ET,ET,0.5435807424240668,None,ET
191807_7822-X4840-Y19927_reg.swc,L5 ET-1 Chrna6,0.78,VISp5,VISp,9622.56,1140.947,7755.927,22.36067977499789,Fezf2-CreER;Ai166_439168-191807,65.47115032319086,8.413262456112985,ET,ET,0.4892188711629151,None,ET
191807_8102-X5725-Y9586_reg.swc,L5 ET-1 Chrna6,0.966,VISp5,VISp,9845.501,1400.493,3239.178,14.142135623730953,Fezf2-CreER;Ai166_439168-191807,50.78425702460177,16.599390671675522,ET,ET,0.8035891173829084,None,ET
191807_8158-X7179-Y9304_reg.swc,L5 ET-1 Chrna6,0.914,VISpl5,VISpl,10045.68,2154.942,3018.935,22.36067977499789,Fezf2-CreER;Ai166_439168-191807,41.03540609666577,12.504105150707948,ET,ET,0.7216396883600626,None,ET
191812_6854-X5676-Y6355_reg.swc,L5 ET-1 Chrna6,1.0,VISal5,VISal,8364.008,1852.652,1867.991,30.0,Plxnd1-CreER;Ai166_380470-191812,36.499177295288,-4.946585922861201,IT-NP-6b,ET,0.4978984479077969,ET,ET
194069_6480-X4276-Y11858_reg.swc,L5 ET-1 Chrna6,0.994,VISam5,VISam,7787.121999999998,752.7,4180.768,0.0,Fezf2-CreER;Ai166_455391-194069,39.487649532277175,2.18440260943552,ET,ET,1.0,None,ET
194069_6665-X4527-Y10686_reg.swc,L5 ET-1 Chrna6,0.944,VISpm5,VISpm,8057.69,907.093,3658.428,10.0,Fezf2-CreER;Ai166_455391-194069,34.870968020480824,-11.61130237746402,ET,ET,0.9799106588906812,None,ET
194069_7406-X4443-Y11111_reg.swc,L5 ET-1 Chrna6,0.666,VISp5,VISp,9005.195,877.66,3911.924,14.142135623730953,Fezf2-CreER;Ai166_455391-194069,61.37103579751341,-4.751723416565543,ET,ET,0.9827394957983192,None,ET
194069_7499-X4635-Y10487_reg.swc,L5 ET-1 Chrna6,1.0,VISp5,VISp,9142.917,979.829,3631.155,10.0,Fezf2-CreER;Ai166_455391-194069,54.79359610226007,-1.6354739069519035,ET,ET,0.9297040273556232,None,ET
194069_7827-X3508-Y20244_reg.swc,L5 ET-1 Chrna6,0.76,VISp5,VISp,9324.79,1224.419,7843.776999999999,10.0,Fezf2-CreER;Ai166_455391-194069,58.46931655394907,5.61239154646599,ET,IT-NP-6b,0.6729660724776614,ET,ET
194069_7960-X3680-Y21513_reg.swc,L5 ET-1 Chrna6,0.794,VISp5,VISp,9465.479,1479.763,8393.503,0.0,Fezf2-CreER;Ai166_455391-194069,34.41336746445257,16.588969522488924,ET,ET,0.6630983357143159,None,ET
194069_8053-X5370-Y24809_reg.swc,L5 ET-1 Chrna6,0.92,VISpor5,VISpor,9484.96,2722.072,9723.736,0.0,Fezf2-CreER;Ai166_455391-194069,41.77890967974501,4.952478845802691,ET,ET,1.0,None,ET
194069_8151-X5946-Y25268_reg.swc,L5 ET-1 Chrna6,0.992,VISpor5,VISpor,9567.162,3072.881,9891.793,0.0,Fezf2-CreER;Ai166_455391-194069,36.6291797833437,-11.057059303939695,ET,IT-NP-6b,0.4729824164320571,ET,ET
211541_7642-X7572-Y16296_reg.swc,L5 ET-1 Chrna6,0.926,VISp5,VISp,9872.385,1460.035,3197.979000000001,0.0,Gpr139-IRES2-FlpO-WPRE_577267-211541 AiP1046+C-GFP RO),49.568421486179616,16.251273412928757,ET,ET,0.871139283268336,None,ET
211550_6742-X19175-Y17279_reg.swc,L5 ET-1 Chrna6,0.622,VISp5,VISp,8074.565,1079.299,7994.798000000002,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),25.704967258640345,-16.104667321749965,ET,ET,0.8981581406874656,None,ET
211550_7524-X21483-Y15565_reg.swc,L5 ET-1 Chrna6,0.992,VISp5,VISp,9122.161,1759.56,8998.404,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),9.140430412230904,16.371408197999976,ET,ET,0.8318193203999236,None,ET
211550_7555-X20812-Y16162_reg.swc,L5 ET-1 Chrna6,0.86,VISp5,VISp,9146.62,1524.503,8638.895,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),13.970320234770044,13.552754024251591,ET,ET,0.9716825842696628,None,ET
211550_7718-X19461-Y16950_reg.swc,L5 ET-1 Chrna6,1.0,VISp5,VISp,9344.26,1204.98,7981.523,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),49.73927042934066,6.536960305755929,ET,IT-NP-6b,0.7630288173301895,ET,ET
211550_7772-X7691-Y18498_reg.swc,L5 ET-1 Chrna6,0.948,VISp5,VISp,8942.767,1381.315,2922.298,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),14.472496788087591,7.662578184749579,ET,ET,0.699476578536765,None,ET
211550_7942-X7116-Y18251_reg.swc,L5 ET-1 Chrna6,1.0,VISp5,VISp,9151.687,1533.45,2681.6040000000007,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581039-211550 (F-GFP stereotaxic injection),11.404541820503876,14.060281076627794,ET,ET,0.7577983939109698,None,ET
211796_6490-X17276-Y17066_reg.swc,L5 ET-1 Chrna6,1.0,VISpm5,VISpm,8036.826999999997,797.965,7277.706,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581040-211796 M P103 7/30/2021 (F-GFP stereotaxic injection),29.25447491551653,5.0015047034657565,ET,ET,0.4698268847814163,None,ET
211796_7238-X7037-Y16980_reg.swc,L5 ET-1 Chrna6,0.996,VISp5,VISp,8858.365,1523.342,2565.607,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581040-211796 M P103 7/30/2021 (F-GFP stereotaxic injection),1.326480878213012,9.697027688033096,ET,ET,0.7674051245438833,None,ET
211796_7334-X21168-Y15440_reg.swc,L5 ET-1 Chrna6,0.988,VISp5,VISp,9210.441,1789.601,9025.147,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581040-211796 M P103 7/30/2021 (F-GFP stereotaxic injection),11.735474555058106,17.953105311529,ET,ET,0.9590601548556684,None,ET
211796_7385-X18532-Y16902_reg.swc,L5 ET-1 Chrna6,1.0,VISp4,VISp,9240.206,975.839,7777.722,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581040-211796 M P103 7/30/2021 (F-GFP stereotaxic injection),57.27911039645159,0.0726707472504973,ET,ET,0.6190924499409367,None,ET
211796_7534-X18739-Y16699_reg.swc,L5 ET-1 Chrna6,0.994,VISp5,VISp,9441.458,1119.536,7854.668000000002,0.0,Chrna6-IRES2-FlpO-WPRE-neo_581040-211796 M P103 7/30/2021 (F-GFP stereotaxic injection),59.95671539199697,6.501785390832037,ET,ET,0.5740176081106632,None,ET
220308_6660-X23024-Y15563_reg.swc,L5 ET-1 Chrna6,0.882,VISal5,VISal,8037.236,1662.965,9160.371,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),25.12229210519107,8.89786267646546,IT-NP-6b,ET,0.8486691833095215,ET,ET
220308_6702-X23195-Y15415_reg.swc,L5 ET-1 Chrna6,0.94,VISal5,VISal,8088.384,1741.4129999999998,9236.375,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),32.23520527113788,8.396171385615327,IT-NP-6b,ET,0.7683914928128178,ET,ET
191807_6836-X4405-Y10082_reg.swc,L6 CT-1,0.828,VISp6a,VISp,8179.596,1315.539,3547.303,0.0,Fezf2-CreER;Ai166_439168-191807,29.2560705925635,-13.85733762341859,CT,CT,0.961232372744348,None,CT
191807_6864-X4028-Y18389_reg.swc,L6 CT-2,0.816,VISpm6a,VISpm,8298.651,1023.61,7156.514,0.0,Fezf2-CreER;Ai166_439168-191807,30.51121434923033,4.80690339598595,CT,IT-NP-6b,0.4517190160514099,CT,CT
191807_6920-X5119-Y8302_reg.swc,L6 CT-1,0.818,VISp6a,VISp,8486.825,1604.779,2741.7140000000004,0.0,Fezf2-CreER;Ai166_439168-191807,-0.835692862766522,3.6640404455925935,CT,CT,0.9144271050233096,None,CT
191807_7098-X4655-Y10334_reg.swc,L6 CT-1,0.99,VISp6a,VISp,8572.984,1274.582,3612.813,0.0,Fezf2-CreER;Ai166_439168-191807,37.09191865178089,-7.271418797523007,CT,CT,0.885716005823019,None,CT
191807_7300-X5089-Y9978_reg.swc,L6 CT-2,1.0,VISp6a,VISp,8860.337,1470.83,3451.272,0.0,Fezf2-CreER;Ai166_439168-191807,31.472459922845832,1.020719641156345,CT,CT,0.8460656539389003,None,CT
191807_7364-X7270-Y23865_reg.swc,L6 CT-1,0.992,VISpor6a,VISpor,9389.721,2717.907,9511.937,0.0,Fezf2-CreER;Ai166_439168-191807,34.1858295739299,3.996353996635024,CT,CT,0.7368036071542166,None,CT
191807_7399-X8056-Y6157_reg.swc,L6 CT-1,1.0,VISpor6a,VISpor,9310.131,2915.407,1682.582,0.0,Fezf2-CreER;Ai166_439168-191807,38.99948437516477,-1.7512095399121774,ET,CT,0.8759498242023821,CT,CT
191807_7494-X6168-Y8596_reg.swc,L6 CT-2,1.0,VISp6a,VISp,9318.95,1952.991,2819.28,0.0,Fezf2-CreER;Ai166_439168-191807,19.72263208211153,20.60637211668186,CT,CT,0.92228425929394,None,CT
191807_7508-X7743-Y23907_reg.swc,L6 CT-1,0.996,VISpor6a,VISpor,9581.567,2925.684,9525.676,10.0,Fezf2-CreER;Ai166_439168-191807,34.66278761956302,0.0,CT,CT,0.8166963235627898,None,CT
191807_7525-X6122-Y8722_reg.swc,L6 CT-2,1.0,VISp6a,VISp,9340.905,1918.198,2870.021,0.0,Fezf2-CreER;Ai166_439168-191807,23.26280328067813,20.936721168165207,CT,CT,0.9898480737117538,None,CT
191807_7537-X7637-Y23814_reg.swc,L6 CT-1,0.828,VISpor6a,VISpor,9605.638,2850.953,9493.633,14.142135623730953,Fezf2-CreER;Ai166_439168-191807,34.66278761956302,0.0,CT,CT,0.855516025096222,None,CT
191807_7612-X8075-Y6623_reg.swc,L6 CT-1,0.934,VISpor6a,VISpor,9539.228,2865.5240000000013,1874.117,0.0,Fezf2-CreER;Ai166_439168-191807,34.66278761956302,0.0,CT,CT,0.8742020417161318,None,CT
191807_7779-X6262-Y9318_reg.swc,L6 CT-2,0.996,VISp6a,VISp,9612.317,1860.426,3111.354000000001,0.0,Fezf2-CreER;Ai166_439168-191807,42.66838108839651,14.681126163623976,CT,CT,0.6272006227361795,None,CT
192348_8164-X3381-Y21012_reg.swc,L6 CT-2,0.94,VISp6a,VISp,9067.077,1403.1,7914.494000000002,0.0,Tacr1-T2A-Cre;Sst-IRES-FlpO;Ai188-hyg_444771-192348,40.827582054833925,3.022936388279089,CT,CT,0.8951055937476156,None,CT
194069_7166-X5939-Y8426_reg.swc,L6 CT-1,0.878,VISp6a,VISp,8826.13,1746.026,2660.58,0.0,Fezf2-CreER;Ai166_455391-194069,1.963304093840708,10.797523853724108,CT,CT,0.9386596532855284,None,CT
194083_6175-X4064-Y8142_reg.swc,L6 CT-2,0.996,VISrl6a,VISrl,7705.503000000002,1527.456,2787.932,0.0,Tle4-CreER;Ai166_482503-194083,20.71172391820094,-3.1092115603324566,CT,CT,0.6207053341861889,None,CT
194083_6690-X3219-Y11189_reg.swc,L6 CT-1,0.724,VISpm6a,VISpm,8372.205,1067.902,4025.566,0.0,Tle4-CreER;Ai166_482503-194083,43.59507257913355,-0.1886378196951041,CT,CT,0.8653988451770148,None,CT
196476_6791-X3395-Y20868_reg.swc,L6 CT-2,0.992,VISp6a,VISp,8029.98,1236.848,8073.168000000002,0.0,Tle4-CreER;Ai166_486476-196476,17.711706531771956,-15.722737033912296,CT,CT,0.6285594205137064,None,CT
196476_7159-x4408-y23171_reg.swc,L6 CT-1,0.516,VISl6a,VISl,8604.331,1883.15,8949.916,0.0,Tle4-CreER;Ai166_486476-196476,11.045298073681009,6.166331313832212,CT,CT,0.8828276621468011,None,CT
196476_7565-x3166-y19635_reg.swc,L6 CT-1,0.74,VISp5,VISp,8912.353000000001,1015.514,7474.405,0.0,Tle4-CreER;Ai166_486476-196476,60.803221237230666,-5.080165164612834,CT,CT,0.4862841496073317,None,CT
196476_7607-X3603-Y20075_reg.swc,L6 CT-2,0.996,VISp6a,VISp,9028.855,1305.645,7634.894,0.0,Tle4-CreER;Ai166_486476-196476,57.570026404673165,-1.7643587930242652,CT,CT,0.7859888568891966,None,CT
196476_7824-x4173-y21243_reg.swc,L6 CT-2,0.98,VISp6a,VISp,9344.679,1653.466,8091.819,0.0,Tle4-CreER;Ai166_486476-196476,44.30849792927631,14.736099175095,CT,CT,0.9399032161830296,None,CT
196476_7922-X4174-Y21695_reg.swc,L6 CT-2,0.814,VISp6a,VISp,9471.523,1644.961,8288.503,0.0,Tle4-CreER;Ai166_486476-196476,40.615243430265856,19.193569284281192,CT,CT,0.8785989076952468,None,CT
196476_8116-X4425-Y9934_reg.swc,L6 CT-1,0.712,VISp6a,VISp,9333.681,1514.461,3212.017000000001,0.0,Tle4-CreER;Ai166_486476-196476,38.574066981202925,12.677191354404114,CT,CT,0.5835200035291237,None,CT
196476_8191-X6571-Y6695_reg.swc,L6 CT-1,0.994,VISpor6a,VISpor,9312.944,2665.418,1863.552,0.0,Tle4-CreER;Ai166_486476-196476,38.11864005208899,9.531384493135436,CT,CT,0.7253164310397893,None,CT
196476_8380-x4209-y10481_reg.swc,L6 CT-2,0.544,VISp5,VISp,9701.583,1356.4029999999998,3454.233,0.0,Tle4-CreER;Ai166_486476-196476,56.49214449012304,12.400082978985964,CT,CT,0.5465251533615949,None,CT
211541_6633-X16017-Y16343_reg.swc,L6 CT-2,1.0,cing,VISpm,8185.079000000002,1135.652,7038.708000000001,0.0,Gpr139-IRES2-FlpO-WPRE_577267-211541 AiP1046+C-GFP RO),28.24088497675736,3.4945107257310424,CT,IT-NP-6b,0.5014282536435503,CT,CT
220307_7080-X19635-Y21599_reg.swc,L6 CT-2,1.0,VISrl6a,VISrl,7728.201999999997,1638.2,8626.443000000001,0.0,Batf3-IRES2-FlpO-WPRE-neo_609510-220307 (F-GFP RO),21.133196260721032,-1.0242597743559567,CT,CT,0.8334149595665729,None,CT
220307_7098-X6694-Y19987_reg.swc,L6 CT-2,0.994,VISrl6a,VISrl,7914.611,1508.208,2938.555,0.0,Batf3-IRES2-FlpO-WPRE-neo_609510-220307 (F-GFP RO),7.99818827469193,-7.384439736767108,CT,CT,0.9712022916419248,None,CT
220307_7229-X18109-Y21959_reg.swc,L6 CT-2,0.912,VISp6a,VISp,7879.491,1250.146,8029.041999999998,0.0,Batf3-IRES2-FlpO-WPRE-neo_609510-220307 (F-GFP RO),22.811126572763296,-18.450046795016217,CT,CT,0.6266346124748263,None,CT
220307_7919-X20996-Y20456_reg.swc,L6 CT-2,0.944,VISl6a,VISl,8971.951,2097.926,9073.561,0.0,Batf3-IRES2-FlpO-WPRE-neo_609510-220307 (F-GFP RO),24.13966743098019,14.667494720972565,CT,CT,0.872711160704213,None,CT
220307_8198-X20188-Y20372_reg.swc,L6 CT-2,1.0,VISp6a,VISp,9331.228,1984.373,8748.094000000001,0.0,Batf3-IRES2-FlpO-WPRE-neo_609510-220307 (F-GFP RO),15.7194640853495,20.849983658832112,CT,CT,0.7118743993962782,None,CT
220308_6054-X20031-Y16355_reg.swc,L6 CT-1,0.784,VISa6a,VISa,7241.842,1251.297,7813.858,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),38.55548701067217,-1.6436021357002986,CT,CT,0.8170984567809069,None,CT
220308_6492-X9152-Y16947_reg.swc,L6 CT-2,0.706,VISp6a,VISp,7871.21,1333.21,3252.634,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),15.923147219473512,-16.411109112613918,CT,IT-NP-6b,0.4151658616900303,CT,CT
220308_7099-X22371-Y15536_reg.swc,L6 CT-2,0.752,VISl6a,VISl,8570.68,1800.391,8855.953000000001,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),4.812521241219497,6.52484881701021,CT,CT,0.9154310200931552,None,CT
220308_7210-X22027-Y15603_reg.swc,L6 CT-2,0.998,VISp6a,VISp,8697.864,1803.188,8702.518,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),0.6226639101751387,8.766808046735948,CT,CT,0.9698961669658278,None,CT
220308_7820-X21073-Y15878_reg.swc,L6 CT-1,0.556,VISp6a,VISp,9497.661,1718.22,8277.396,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),41.94693687707663,19.440990835485696,CT,CT,0.804162354429579,None,CT
220308_7875-X22200-Y14877_reg.swc,L6 CT-2,1.0,VISp6a,VISp,9516.658,2191.79,8785.096,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),22.562045948166784,18.520112152760014,CT,CT,0.968578331869228,None,CT
220308_8021-X22273-Y14515_reg.swc,L6 CT-2,0.966,VISpl6b,VISpl,9710.696,2374.79,8822.27,0.0,Batf3-IRES2-FlpO-WPRE-neo_609513-220308 (F-GFP RO),35.918821049732934,7.639622802074301,CT,CT,0.8113195698158145,None,CT
17109_6201-X4328-Y6753_reg.swc,L5/L6 IT Car3,0.658,VISl6a,VISl,8982.283000000001,1925.564,2466.995,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,10.36824450836367,15.330841244365065,IT-NP-6b,IT-NP-6b,0.6904428952473377,None,IT-NP-6b
17109_6301-X4756-Y24516_reg.swc,L5/L6 IT Car3,1.0,VISp6a,VISp,8257.593,1523.956,8558.055,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,0.1076752036076176,-1.680966277555355,IT-NP-6b,IT-NP-6b,0.8096876876881872,None,IT-NP-6b
17109_6601-X4384-Y7436_reg.swc,L5/L6 IT Car3,0.496,VISl6a,VISl,8542.734,1975.742,2160.052,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,25.764015629400166,-2.479277890338693,IT-NP-6b,IT-NP-6b,0.6707804216387825,None,IT-NP-6b
17109_6601-X5417-Y25287_reg.swc,L5/L6 IT Car3,1.0,VISp6a,VISp,8663.07,1748.836,8848.343,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,2.3650463142671,7.994868724149777,IT-NP-6b,IT-NP-6b,0.6086257411170417,None,IT-NP-6b
17109_6901-X7203-Y26714_reg.swc,L6 IT-3,1.0,VISli6a,VISli,8978.894,2311.113,9404.15,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,40.16837244162232,4.819983412446462,IT-NP-6b,IT-NP-6b,0.6569391202617587,None,IT-NP-6b
17109_7001-X5738-Y6470_reg.swc,L5/L6 IT Car3,1.0,VISli6a,VISli,9349.028,2449.725,2146.835,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,33.65870237035007,12.996909801141726,IT-NP-6b,IT-NP-6b,0.8883344514196585,None,IT-NP-6b
17109_7001-X6205-Y5194_reg.swc,L5/L6 IT Car3,1.0,VISpor5,VISpor,9434.556,2658.593,1615.215,0.0,Gnb4-IRES2-CreERT2;Ai140_297974-17109,40.545713218012025,-0.3558451936997752,IT-NP-6b,IT-NP-6b,0.6696924468195339,None,IT-NP-6b
17300_5969-X27278-Y20820_reg.swc,L4/L5 IT,1.0,VISam5,VISam,7791.135999999998,864.143,7725.083,0.0,Plxnd1-CreER;Ai82;Ai140_314107-17300,37.65915799507618,-9.164426950576384,IT-NP-6b,IT-NP-6b,0.5301458966476632,None,IT-NP-6b
17543_6014-X3691-Y17288_reg.swc,L6 IT-2,1.0,VISp6a,VISp,9074.697,1454.394,8171.302,0.0,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,29.43246367638477,6.874726184405883,IT-NP-6b,IT-NP-6b,0.6584436278428136,None,IT-NP-6b
17781_6262-X6896-Y13574_reg.swc,L5/L6 IT Car3,1.0,VISrl5,VISrl,7919.665,1770.004,2296.596,0.0,Gnb4-IRES2-CreERT2;Ai82;Ai140_339951-17781,26.54752548777507,7.859303071650277,IT-NP-6b,IT-NP-6b,0.6639672108651196,None,IT-NP-6b
17781_6866-X8954-Y41812_reg.swc,L5/L6 IT Car3,0.96,VISli6a,VISli,8563.110999999999,2215.006,9320.148,0.0,Gnb4-IRES2-CreERT2;Ai82;Ai140_339951-17781,26.67629193128643,-7.0246559728941,IT-NP-6b,IT-NP-6b,0.663951760791932,None,IT-NP-6b
17787_7070-X12739-Y1410_reg.swc,L2/3 IT,1.0,VISpm1,VISpm,8549.011999999999,447.551,7505.11,0.0,Plxnd1-CreER;Ai166_351327-17787 ,46.41569276669733,-0.3184834315757475,IT-NP-6b,IT-NP-6b,0.9191552083056554,None,IT-NP-6b
182709_6172-X3564-Y6968_reg.swc,L2/3 IT,1.0,VISal2/3,VISal,8016.125,1409.868,1884.558,28.284271247461906,Ai82;Ai139_375886-182709,32.8625754359713,8.498083201372427,IT-NP-6b,IT-NP-6b,0.8924892127710595,None,IT-NP-6b
182709_6592-X3030-Y10077_reg.swc,L5 IT-2,0.7,VISp5,VISp,8439.761999999999,1137.898,3313.748,17.320508075688775,Ai82;Ai139_375886-182709,21.804875371169285,-6.374416983245353,IT-NP-6b,IT-NP-6b,0.8370205462301017,None,IT-NP-6b
182709_6812-X3137-Y8659_reg.swc,L4 IT,0.938,VISp4,VISp,8772.639000000001,1255.991,2709.035,14.142135623730953,Ai82;Ai139_375886-182709,4.353855000377719,5.991603586797155,IT-NP-6b,IT-NP-6b,0.9894544868129392,None,IT-NP-6b
182709_6886-X3406-Y21258_reg.swc,L2/3 IT,1.0,VISp2/3,VISp,8543.104,790.683,8037.035,0.0,Ai82;Ai139_375886-182709,32.09246259060238,-7.953228513970714,IT-NP-6b,IT-NP-6b,0.9885826426576528,None,IT-NP-6b
182709_7010-X2644-Y10852_reg.swc,L4 IT,1.0,VISp4,VISp,8963.312,854.76,3643.659,0.0,Ai82;Ai139_375886-182709,51.63446565819197,-5.273152628915788,IT-NP-6b,IT-NP-6b,0.9768688808506408,None,IT-NP-6b
182709_7120-X2261-Y10934_reg.swc,L2/3 IT,1.0,VISp2/3,VISp,9119.875,608.654,3674.486,14.142135623730953,Ai82;Ai139_375886-182709,56.37350072494822,-5.11445702863888,IT-NP-6b,IT-NP-6b,0.962775037045211,None,IT-NP-6b
182709_7486-X4577-Y22503_reg.swc,L5 IT-2,0.948,VISp4,VISp,9296.082,1468.736,8581.92,0.0,Ai82;Ai139_375886-182709,20.96417368753448,15.129675078396843,IT-NP-6b,IT-NP-6b,0.4131959101181292,None,IT-NP-6b
182724_6416-X3689-Y10398_reg.swc,L4/L5 IT,1.0,VISp4,VISp,7828.436,873.12,3361.4640000000004,33.166247903554,Fezf2-CreER;Ai166_405426-182724,31.88579882558083,-18.73135209701718,IT-NP-6b,IT-NP-6b,0.9565051491907148,None,IT-NP-6b
18452_7249-X11408-Y2071_reg.swc,L2/3 IT,1.0,VISp2/3,VISp,9469.189,772.507,8022.991,0.0,Cux2-CreERT2;Ai166_374707-18452,50.79238445718045,3.754893890753031,IT-NP-6b,IT-NP-6b,0.9290200759553148,None,IT-NP-6b
18453_5667-X25695-Y3103_reg.swc,L2/3 IT,1.0,VISam1,VISam,7547.557,460.918,3816.856,0.0,Cux2-CreERT2;Ai166_374712-18453 ,47.774718285248106,1.6605629411375848,IT-NP-6b,IT-NP-6b,0.7998953475391138,None,IT-NP-6b
18453_5701-X28505-Y4297_reg.swc,L2/3 IT,1.0,VISrl2/3,VISrl,7699.119000000002,968.186,2858.141,14.142135623730953,Cux2-CreERT2;Ai166_374712-18453 ,17.279008294762757,-11.746009336635888,IT-NP-6b,IT-NP-6b,0.9948440458619708,None,IT-NP-6b
18453_5766-X31719-Y6139_reg.swc,L2/3 IT,1.0,VISal2/3,VISal,7863.199,1583.062,1722.531,28.284271247461906,Cux2-CreERT2;Ai166_374712-18453 ,38.27854180394282,4.816868759491121,IT-NP-6b,IT-NP-6b,0.926052869599094,None,IT-NP-6b
18453_5941-X24629-Y3152_reg.swc,L2/3 IT,0.7,VISam2/3,VISam,7897.536,537.6659999999998,4200.953,10.0,Cux2-CreERT2;Ai166_374712-18453 ,33.648499709817706,1.7010302807710955,IT-NP-6b,IT-NP-6b,0.9487246732074804,None,IT-NP-6b
18453_5995-X24812-Y3143_reg.swc,L2/3 IT,0.99,VISam2/3,VISam,7982.996,550.262,4146.005,10.0,Cux2-CreERT2;Ai166_374712-18453 ,30.638565210033644,3.721936631413608,IT-NP-6b,IT-NP-6b,0.9874094958925688,None,IT-NP-6b
18453_6035-X24820-Y3039_reg.swc,L2/3 IT,1.0,VISam2/3,VISam,8059.866999999997,511.637,4154.09,14.14213562373091,Cux2-CreERT2;Ai166_374712-18453 ,29.14476839239881,3.969533052994086,IT-NP-6b,IT-NP-6b,0.9880552341755888,None,IT-NP-6b
18453_6181-X10238-Y3690_reg.swc,L2/3 IT,1.0,VISrl2/3,VISrl,7688.189,1072.265,8977.86,0.0,Cux2-CreERT2;Ai166_374712-18453 ,19.065001073550548,-1.540203939135954,IT-NP-6b,IT-NP-6b,0.9692581920314768,None,IT-NP-6b
18453_6316-X30559-Y4743_reg.swc,L2/3 IT,1.0,VISp1,VISp,8571.181,1146.728,2214.091,24.494897427831784,Cux2-CreERT2;Ai166_374712-18453 ,2.7361186560582302,4.769219168831097,IT-NP-6b,IT-NP-6b,0.9458872467176986,None,IT-NP-6b
18453_6477-X30376-Y5078_reg.swc,L2/3 IT,1.0,VISp2/3,VISp,8764.62,1334.686,2307.588,0.0,Cux2-CreERT2;Ai166_374712-18453 ,1.7263231646200563,7.795481357602712,IT-NP-6b,IT-NP-6b,0.8907153918280319,None,IT-NP-6b
